frequence of Interceptor attribute
    Type Description                     Count                   Percent
             J.Jones                         3                      0.07%
            J.Joseph                        24                      0.53%
              J.King                         1                      0.02%
             J.Lacey                         7                      0.15%
              J.Lane                         3                      0.07%
         J.Lattimore                         1                      0.02%
       J.Laurinaitis                        10                      0.22%
           J.Lefeged                         2                      0.04%
          J.Leonhard                        11                      0.24%
             J.Lewis                         1                      0.02%
             J.Mauga                         3                      0.07%
              J.Mayo                         3                      0.07%
           J.McClain                         1                      0.02%
          J.McCourty                        18                      0.40%
            J.McGraw                         6                      0.13%
         J.McMillian                         3                      0.07%
             J.Miles                         1                      0.02%
             J.Mills                         3                      0.07%
            J.Mincey                         1                      0.02%
            J.Murphy                         1                      0.02%
            J.Nelson                         1                      0.02%
            J.Norman                        10                      0.22%
            J.Odrick                         1                      0.02%
              J.Page                         2                      0.04%
           J.Patrick                         1                      0.02%
           J.Peppers                         8                      0.18%
          J.Phillips                         1                      0.02%
       J.Pierre-Paul                         3                      0.07%
            J.Powers                        14                      0.31%
             J.Poyer                         8                      0.18%
              J.Pugh                         2                      0.04%
            J.Ramsey                         6                      0.13%
            J.Reeves                         1                      0.02%
          J.Robinson                         5                      0.11%
            J.Rogers                         3                      0.07%
             J.Rolle                         3                      0.07%
           J.Sanders                         3                      0.07%
           J.Sanford                         3                      0.07%
          J.Schobert                         1                      0.02%
              J.Senn                         1                      0.02%
              J.Shaw                         1                      0.02%
           J.Simmons                         4                      0.09%
             J.Simon                         1                      0.02%
             J.Smith                        13                      0.29%
             J.Tartt                         2                      0.04%
            J.Taylor                         4                      0.09%
            J.Thomas                         4                      0.09%
           J.Trattou                         2                      0.04%
           J.Trusnik                         1                      0.02%
             J.Tryon                         1                      0.02%
              J.Tuck                         2                      0.04%
            J.Tuggle                         1                      0.02%
           J.Verrett                         5                      0.11%
             J.Vilma                         5                      0.11%
              J.Ward                         3                      0.07%
              J.Ware                         1                      0.02%
              J.Watt                         1                      0.02%
          J.Wendling                         1                      0.02%
            J.Wilcox                         8                      0.18%
           J.Wilhite                         3                      0.07%
            J.Wilson                        16                      0.35%
           J.Worilds                         1                      0.02%
           Jar.Jones                         1                      0.02%
             K.Acker                         4                      0.09%
         K.Alexander                         7                      0.15%
             K.Allen                         1                      0.02%
            K.Alonso                         7                      0.15%
         K.Arrington                        11                      0.24%
            K.Barnes                         3                      0.07%
           K.Bentley                         1                      0.02%
          K.Biermann                         2                      0.04%
          K.Bosworth                         1                      0.02%
             K.Brice                         1                      0.02%
          K.Brooking                         1                      0.02%
           K.Bulluck                         5                      0.11%
           K.Burnett                         3                      0.07%
             K.Byard                         8                      0.18%
        K.Chancellor                        14                      0.31%
           K.Coleman                        21                      0.46%
           K.Crawley                         1                      0.02%
            K.Dansby                        12                      0.27%
           K.Dockery                         1                      0.02%
              K.Ealy                         2                      0.04%
           K.Emanuel                         2                      0.04%
               K.Fox                         1                      0.02%
            K.Fuller                        13                      0.29%
            K.Greene                         1                      0.02%
            K.Hamlin                         1                      0.02%
            K.Hayden                         7                      0.15%
           K.Ishmael                         5                      0.11%
           K.Jackson                        15                      0.33%
          K.Jennings                         1                      0.02%
           K.Johnson                         2                      0.04%
            K.Joseph                         2                      0.04%
             K.Lewis                        19                      0.42%
             K.Lucas                         1                      0.02%
              K.Mack                         1                      0.02%
            K.Martin                         1                      0.02%
             K.Moore                         3                      0.07%
              K.Neal                         1                      0.02%
          K.Peterson                         2                      0.04%
          K.Phillips                         7                      0.15%
             K.Reyes                         1                      0.02%
            K.Rhodes                        11                      0.24%
            K.Rivers                         1                      0.02%
          K.Robinson                         2                      0.04%
           K.Russell                         1                      0.02%
           K.Rutland                         1                      0.02%
          K.Sheppard                         2                      0.04%
           K.Simpson                         1                      0.02%
             K.Tandy                         8                      0.18%
            K.Toomer                         1                      0.02%
           K.Vaccaro                         9                      0.20%
