frequence of Unit attribute
    Type Description                     Count                   Percent
                 725                         1                      0.00%
                 726                         4                      0.01%
                 732                         1                      0.00%
                 736                         1                      0.00%
                 737                         1                      0.00%
                  74                         1                      0.00%
                  75                         4                      0.01%
                 752                         1                      0.00%
                 757                         1                      0.00%
                  76                         3                      0.01%
                 769                         1                      0.00%
                  78                         1                      0.00%
                  79                         1                      0.00%
                   8                       104                      0.35%
                 800                         2                      0.01%
                 801                        18                      0.06%
                 802                        23                      0.08%
                 803                         3                      0.01%
                 804                        13                      0.04%
                 805                        11                      0.04%
                 806                         6                      0.02%
                 807                         7                      0.02%
                 808                         6                      0.02%
                 809                        10                      0.03%
                  81                         3                      0.01%
                 810                         5                      0.02%
                 812                         2                      0.01%
                 816                        11                      0.04%
                 817                         2                      0.01%
                 818                         1                      0.00%
                 822                         2                      0.01%
                 823                         2                      0.01%
                 824                         5                      0.02%
                 830                         4                      0.01%
                 832                         1                      0.00%
                  84                         5                      0.02%
                 840                         2                      0.01%
                 842                         1                      0.00%
                 846                         1                      0.00%
                 852                         2                      0.01%
                 857                         3                      0.01%
                 859                         1                      0.00%
                  87                         1                      0.00%
                 872                         1                      0.00%
                 875                         2                      0.01%
                   9                        69                      0.23%
                  90                         1                      0.00%
                 900                         4                      0.01%
                 901                        16                      0.05%
                 902                         6                      0.02%
                 903                         4                      0.01%
                 904                         7                      0.02%
                 905                         6                      0.02%
                 906                         2                      0.01%
                 907                         6                      0.02%
                 908                         1                      0.00%
                 909                         1                      0.00%
                 910                         2                      0.01%
                 911                         2                      0.01%
                 912                         3                      0.01%
                 914                         2                      0.01%
                 916                         1                      0.00%
                 918                         1                      0.00%
                 920                         1                      0.00%
                 921                         1                      0.00%
                 922                         1                      0.00%
                 930                         1                      0.00%
                 931                         1                      0.00%
                 932                         1                      0.00%
                 939                         2                      0.01%
                 942                         1                      0.00%
                 947                         1                      0.00%
                 952                         2                      0.01%
                 957                         1                      0.00%
                 965                         1                      0.00%
                  99                         1                      0.00%
